დილა მივიდობისა, ზურაბ! რა ცუდი ამინდია!	dila m¡vidob-isa, zura(b)! ra cud-i amind-i-a!<br />Good movning, Zurab! What bad weather it is!
გამარჯობა, მაია, როგორა ხარ? სად მიდიხარ?	ga-marˇj-oba, maia, rogora x-a-r? sad mi-di-x-a-r?<br />Hello, Maia, how are you? Where are you going?
მადლობა, კარგადა ვარ. ქალაქში მივდივარ.	madl-oba, k’arg-ada v-a-r. kalak-shi mi-v-di-v-a-r.<br />Thanks, I am well. I am going to town.
გამარჯობათ, ნათელა!	ga-marˇj-oba-t, natela!<br />Hello, Natela! (formal)
გაგიმარჯოთ, ირაკლი! სად მიდიხართ?	ga-g-i-marˇj-o-t, irak’li! sad mi-di-x-a-r-t?<br /><br />Hello to you, Irak’li! Where are you going?(formal)
სკოლაში მივდივარ. მამა როგორაა?	sk’ola-shi mi-v-di-v-a-r. mama rogora-a?<br />I am going to school. How is (your) father?
კარგად. მშობლები სად არიან?	k’arg-ad. mshobl-eb-i sad a-r-i-an?<br />Well. Where are (your) parents?
სახლში არიან. დღეს არ მიდიან ქალაქში.	saxl-shi a-r-i-an. dg'e-s ar mi-di-an kalak-shi.<br />They are at home. They are not going to town today.
დიახ, მე ქართველი გახლავართ.	diax, me kartv-el-i g-a-xl-av-[v-]a-r-t.<br />Yes, I'm a Georgian.
ძალიან სასიამოვნოა. სად მიბრძანდებით?	jalian sasiamovno-a. sad mi-brjan-d-eb-i-t?<br />It is a great pleasure [to meet you]. Where are you going?
ცენტრში მივდივართ, მაგრამ სად არის, ნეტავ?!	cent’r-shi mi-v-di-v-a-r-t, magram sad a-r-i-s, net’av?!<br />We are going to the (city) centre, but where is it, pray?!
საქართველოში ასტრონომიის  სწავლება უნდა აღდგეს - ექსპერტები	საქართველოში : <span style="font-style:italic;">sak’art’veloshi</span> : in Georgia<br />ასტრონომიის სწავლება : <span style="font-style:italic;">astronomiis stsavleba</span> : astronomy education <br />უნდა : <span style="font-style:italic;">unda</span> : should be<br />აღდგეს : <span style="font-style:italic;">aghdges</span> : restored<br />ექსპერტები : <span style="font-style:italic;">ek’spertebi </span>: experts (according to experts, experts say)
კინოში მივდიხარ?	k’ino-shi mi-di-x-a-r?<br />კინოში : to the theater<br />მივდიხარ : you are going
